timestamp,0.005,0.01,0.025,0.05,0.075,0.1,0.25,0.5,0.75,1.0,2.5,5.0,7.5,10.0,+Inf
1666258673,201692,205505,211029,215274,217195,218387,220539,220665,220763,220767,220771,220771,220771,220771,220771
1666258674,201692,205505,211029,215274,217195,218387,220539,220665,220763,220767,220771,220771,220771,220771,220771
1666258675,201692,205505,211029,215274,217195,218387,220539,220665,220763,220767,220771,220771,220771,220771,220771
1666258676,201692,205505,211029,215274,217195,218387,220539,220665,220763,220767,220771,220771,220771,220771,220771
1666258677,201692,205505,211029,215274,217195,218387,220539,220665,220763,220767,220771,220771,220771,220771,220771
1666258678,201692,205505,211029,215274,217195,218387,220539,220665,220763,220767,220771,220771,220771,220771,220771
1666258679,201692,205505,211029,215274,217195,218387,220539,220665,220763,220767,220771,220771,220771,220771,220771
1666258680,201692,205505,211029,215274,217195,218387,220539,220665,220763,220767,220771,220771,220771,220771,220771
1666258681,201692,205505,211029,215274,217195,218387,220539,220665,220763,220767,220771,220771,220771,220771,220771
1666258682,201692,205505,211029,215274,217195,218387,220539,220665,220763,220767,220771,220771,220771,220771,220771
1666258683,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258684,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258685,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258686,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258687,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258688,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258689,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258690,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258691,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258692,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258693,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258694,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258695,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258696,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258697,201707,205520,211044,215289,217210,218402,220554,220680,220778,220782,220786,220786,220786,220786,220786
1666258698,201722,205535,211059,215304,217225,218417,220569,220695,220793,220797,220801,220801,220801,220801,220801
1666258699,201722,205535,211059,215304,217225,218417,220569,220695,220793,220797,220801,220801,220801,220801,220801
1666258700,201722,205535,211059,215304,217225,218417,220569,220695,220793,220797,220801,220801,220801,220801,220801
1666258701,201722,205535,211059,215304,217225,218417,220569,220695,220793,220797,220801,220801,220801,220801,220801
1666258702,201722,205535,211059,215304,217225,218417,220569,220695,220793,220797,220801,220801,220801,220801,220801
